,main_category,unit_type,sub_category,max_range,min_range
Juicer Mixer Grinder_piece_Motor,Juicer Mixer Grinder,piece,Motor,4000.0,390.0
Juicer Mixer Grinder_piece_Number of Blades,Juicer Mixer Grinder,piece,Number of Blades,3000.0,1930.0
Juicer Mixer Grinder_piece_Place Of Origin,Juicer Mixer Grinder,piece,Place Of Origin,2950.0,1500.0
Juicer Mixer Grinder_piece_Power,Juicer Mixer Grinder,piece,Power,6000.0,390.0
Juicer Mixer Grinder_piece_Spare Part Name,Juicer Mixer Grinder,piece,Spare Part Name,1500.0,399.0
Juicer Mixer Grinder_piece_Usage/Application,Juicer Mixer Grinder,piece,Usage/Application,1500.0,1.0
Juicer Mixer Grinder_piece_Use,Juicer Mixer Grinder,piece,Use,3000.0,1500.0
Juicer Mixer Grinder_piece_Voltage,Juicer Mixer Grinder,piece,Voltage,2030.0,995.0
Juicer Mixer Grinder_piece_Wattage,Juicer Mixer Grinder,piece,Wattage,2984.0,750.0
Juicer Mixer Grinder_set_Brand,Juicer Mixer Grinder,set,Brand,2000.0,825.0
Juicer Mixer Grinder_set_Capacity,Juicer Mixer Grinder,set,Capacity,4499.0,4499.0
Juicer Mixer Grinder_set_Color,Juicer Mixer Grinder,set,Color,4499.0,825.0
Juicer Mixer Grinder_set_Grinder Type,Juicer Mixer Grinder,set,Grinder Type,1400.0,825.0
Juicer Mixer Grinder_set_Material,Juicer Mixer Grinder,set,Material,1400.0,1400.0
Juicer Mixer Grinder_set_Model Number,Juicer Mixer Grinder,set,Model Number,4499.0,4499.0
Juicer Mixer Grinder_set_Motor,Juicer Mixer Grinder,set,Motor,1400.0,1400.0
Juicer Mixer Grinder_set_Place Of Origin,Juicer Mixer Grinder,set,Place Of Origin,825.0,825.0
Juicer Mixer Grinder_set_Power,Juicer Mixer Grinder,set,Power,2750.0,1400.0
Juicer Mixer Grinder_set_Spare Part Name,Juicer Mixer Grinder,set,Spare Part Name,4499.0,1400.0
Juicer Mixer Grinder_set_Voltage,Juicer Mixer Grinder,set,Voltage,1400.0,1400.0
Juicer Mixer Grinder_set_Wattage,Juicer Mixer Grinder,set,Wattage,1400.0,825.0
Juicer Mixer Grinder_unit_Applicable Fruits,Juicer Mixer Grinder,unit,Applicable Fruits,380.0,380.0
Juicer Mixer Grinder_unit_Brand,Juicer Mixer Grinder,unit,Brand,3300.0,199.0
Juicer Mixer Grinder_unit_Capacity,Juicer Mixer Grinder,unit,Capacity,5979.0,5979.0
Juicer Mixer Grinder_unit_Color,Juicer Mixer Grinder,unit,Color,5979.0,3300.0
Juicer Mixer Grinder_unit_Grinder Type,Juicer Mixer Grinder,unit,Grinder Type,3300.0,199.0
Juicer Mixer Grinder_unit_Material,Juicer Mixer Grinder,unit,Material,380.0,380.0
Juicer Mixer Grinder_unit_Model Number,Juicer Mixer Grinder,unit,Model Number,3300.0,199.0
Juicer Mixer Grinder_unit_Motor,Juicer Mixer Grinder,unit,Motor,1450.0,380.0
Juicer Mixer Grinder_unit_Number of Blades,Juicer Mixer Grinder,unit,Number of Blades,1450.0,1450.0
Juicer Mixer Grinder_unit_Place Of Origin,Juicer Mixer Grinder,unit,Place Of Origin,5950.0,2000.0
Juicer Mixer Grinder_unit_Power,Juicer Mixer Grinder,unit,Power,5950.0,199.0
Juicer Mixer Grinder_unit_Spare Part Name,Juicer Mixer Grinder,unit,Spare Part Name,380.0,380.0
Juicer Mixer Grinder_unit_Usage/Application,Juicer Mixer Grinder,unit,Usage/Application,1150.0,199.0
Juicer Mixer Grinder_unit_Uses,Juicer Mixer Grinder,unit,Uses,380.0,380.0
Juicer Mixer Grinder_unit_Voltage,Juicer Mixer Grinder,unit,Voltage,1450.0,1450.0
Juicer Mixer Grinder_unit_Wattage,Juicer Mixer Grinder,unit,Wattage,3300.0,199.0
Knitted Yarn_kilogram_Application,Knitted Yarn,kilogram,Application,850.0,250.0
Knitted Yarn_kilogram_Brand,Knitted Yarn,kilogram,Brand,260.0,260.0
Knitted Yarn_kilogram_Color,Knitted Yarn,kilogram,Color,400.0,121.0
Knitted Yarn_kilogram_Count,Knitted Yarn,kilogram,Count,150.0,150.0
Knitted Yarn_kilogram_Design,Knitted Yarn,kilogram,Design,297.0,297.0
Knitted Yarn_kilogram_Lustre,Knitted Yarn,kilogram,Lustre,850.0,180.0
Knitted Yarn_kilogram_Material,Knitted Yarn,kilogram,Material,450.0,30.0
Knitted Yarn_kilogram_No. of Ply,Knitted Yarn,kilogram,No. of Ply,300.0,220.0
Knitted Yarn_kilogram_Pattern,Knitted Yarn,kilogram,Pattern,180.0,121.0
Knitted Yarn_kilogram_Technique,Knitted Yarn,kilogram,Technique,150.0,60.0
Knitted Yarn_kilogram_Usage,Knitted Yarn,kilogram,Usage,320.0,30.0
Knitted Yarn_kilogram_Usage/Application,Knitted Yarn,kilogram,Usage/Application,300.0,121.0
Knitted Yarn_kilogram_Yarn Type,Knitted Yarn,kilogram,Yarn Type,850.0,250.0
Knitted Yarn_piece_Brand,Knitted Yarn,piece,Brand,499.0,499.0
Knitted Yarn_piece_Color,Knitted Yarn,piece,Color,499.0,499.0
Knitted Yarn_piece_Count,Knitted Yarn,piece,Count,205.0,205.0
Knitted Yarn_piece_Material,Knitted Yarn,piece,Material,499.0,205.0
Knitted Yarn_piece_No. of Ply,Knitted Yarn,piece,No. of Ply,205.0,205.0
Knitted Yarn_piece_Pattern,Knitted Yarn,piece,Pattern,499.0,205.0
Knitted Yarn_piece_Technique,Knitted Yarn,piece,Technique,1.0,1.0
Knitted Yarn_piece_Usage,Knitted Yarn,piece,Usage,499.0,205.0
Ladies Palazzo_bag_Appearance,Ladies Palazzo,bag,Appearance,850.0,190.0
Ladies Palazzo_bag_Bottom,Ladies Palazzo,bag,Bottom,190.0,190.0
Ladies Palazzo_bag_Brand,Ladies Palazzo,bag,Brand,850.0,190.0
Ladies Palazzo_bag_Color,Ladies Palazzo,bag,Color,850.0,190.0
Ladies Palazzo_bag_Size,Ladies Palazzo,bag,Size,190.0,190.0
Ladies Palazzo_bag_Style,Ladies Palazzo,bag,Style,190.0,190.0
Ladies Palazzo_box_Appearance,Ladies Palazzo,box,Appearance,105.0,105.0
Ladies Palazzo_box_Bottom,Ladies Palazzo,box,Bottom,105.0,105.0
Ladies Palazzo_box_Brand,Ladies Palazzo,box,Brand,110.0,105.0
Ladies Palazzo_box_Color,Ladies Palazzo,box,Color,110.0,105.0
Ladies Palazzo_box_Fabric,Ladies Palazzo,box,Fabric,110.0,110.0
Ladies Palazzo_box_Product Type,Ladies Palazzo,box,Product Type,450.0,450.0
Ladies Palazzo_box_Rayon,Ladies Palazzo,box,Rayon,450.0,450.0
Ladies Palazzo_box_Size,Ladies Palazzo,box,Size,450.0,105.0
Ladies Palazzo_box_Style,Ladies Palazzo,box,Style,450.0,105.0
Ladies Palazzo_box_Waist Size,Ladies Palazzo,box,Waist Size,110.0,110.0
Ladies Palazzo_carton_Color,Ladies Palazzo,carton,Color,130.0,130.0
Ladies Palazzo_carton_Product Type,Ladies Palazzo,carton,Product Type,130.0,130.0
Ladies Palazzo_carton_Size,Ladies Palazzo,carton,Size,130.0,130.0
Ladies Palazzo_meter_Appearance,Ladies Palazzo,meter,Appearance,125.0,125.0
Ladies Palazzo_meter_Bottom,Ladies Palazzo,meter,Bottom,125.0,125.0
Ladies Palazzo_meter_Brand,Ladies Palazzo,meter,Brand,125.0,110.0
Ladies Palazzo_meter_Color,Ladies Palazzo,meter,Color,125.0,110.0
Ladies Palazzo_meter_Product Type,Ladies Palazzo,meter,Product Type,125.0,125.0
Ladies Palazzo_meter_Rayon,Ladies Palazzo,meter,Rayon,125.0,125.0
Ladies Palazzo_meter_Size,Ladies Palazzo,meter,Size,125.0,110.0
Ladies Palazzo_meter_Style,Ladies Palazzo,meter,Style,125.0,125.0
Ladies Palazzo_number_Brand,Ladies Palazzo,number,Brand,450.0,450.0
Ladies Palazzo_number_Color,Ladies Palazzo,number,Color,450.0,130.0
Ladies Palazzo_number_Gender,Ladies Palazzo,number,Gender,1900.0,1900.0
Ladies Palazzo_number_Product Type,Ladies Palazzo,number,Product Type,750.0,750.0
Ladies Palazzo_number_Size,Ladies Palazzo,number,Size,450.0,130.0
Ladies Palazzo_number_Style,Ladies Palazzo,number,Style,1900.0,1900.0
Ladies Palazzo_packet_Appearance,Ladies Palazzo,packet,Appearance,290.0,290.0
Ladies Palazzo_packet_Brand,Ladies Palazzo,packet,Brand,650.0,299.0
Ladies Palazzo_packet_Color,Ladies Palazzo,packet,Color,650.0,650.0
Ladies Palazzo_packet_Fabric,Ladies Palazzo,packet,Fabric,650.0,650.0
Ladies Palazzo_packet_Material,Ladies Palazzo,packet,Material,299.0,299.0
Ladies Palazzo_packet_Pattern,Ladies Palazzo,packet,Pattern,650.0,650.0
Ladies Palazzo_packet_Product Type,Ladies Palazzo,packet,Product Type,290.0,290.0
Ladies Palazzo_packet_Style,Ladies Palazzo,packet,Style,299.0,290.0
Ladies Palazzo_pair_Brand,Ladies Palazzo,pair,Brand,180.0,180.0
Ladies Palazzo_piece_Age Group,Ladies Palazzo,piece,Age Group,1285.0,1285.0
Ladies Palazzo_piece_Appearance,Ladies Palazzo,piece,Appearance,405.0,60.0
Ladies Palazzo_piece_Bottom,Ladies Palazzo,piece,Bottom,399.0,80.0
Ladies Palazzo_piece_Brand,Ladies Palazzo,piece,Brand,799.0,50.0
Ladies Palazzo_piece_Branded Y N,Ladies Palazzo,piece,Branded Y N,1285.0,1285.0
Ladies Palazzo_piece_Collection Name,Ladies Palazzo,piece,Collection Name,880.0,495.0
Ladies Palazzo_piece_Color,Ladies Palazzo,piece,Color,475.0,48.0
Ladies Palazzo_piece_Design,Ladies Palazzo,piece,Design,280.0,120.0
Ladies Palazzo_piece_Fabric,Ladies Palazzo,piece,Fabric,449.0,48.0
Ladies Palazzo_piece_GSM,Ladies Palazzo,piece,GSM,350.0,350.0
Ladies Palazzo_piece_Gender,Ladies Palazzo,piece,Gender,399.0,160.0
Ladies Palazzo_piece_Ideal For,Ladies Palazzo,piece,Ideal For,160.0,50.0
Ladies Palazzo_piece_Kurti Style,Ladies Palazzo,piece,Kurti Style,799.0,630.0
Ladies Palazzo_piece_Length,Ladies Palazzo,piece,Length,250.0,250.0
Ladies Palazzo_piece_Material,Ladies Palazzo,piece,Material,400.0,120.0
Ladies Palazzo_piece_Mode Of Service,Ladies Palazzo,piece,Mode Of Service,345.0,130.0
Ladies Palazzo_piece_Neck Shape,Ladies Palazzo,piece,Neck Shape,1285.0,1285.0
Ladies Palazzo_piece_Occasion,Ladies Palazzo,piece,Occasion,499.0,50.0
Ladies Palazzo_piece_Pattern,Ladies Palazzo,piece,Pattern,725.0,50.0
Ladies Palazzo_piece_Payment Terms,Ladies Palazzo,piece,Payment Terms,900.0,900.0
Ladies Palazzo_piece_Product Code,Ladies Palazzo,piece,Product Code,900.0,900.0
Ladies Palazzo_piece_Product Origin,Ladies Palazzo,piece,Product Origin,900.0,900.0
Ladies Palazzo_piece_Product Type,Ladies Palazzo,piece,Product Type,525.0,1.0
Ladies Palazzo_piece_Rayon,Ladies Palazzo,piece,Rayon,260.0,95.0
Ladies Palazzo_piece_Salwar Type,Ladies Palazzo,piece,Salwar Type,880.0,495.0
Ladies Palazzo_piece_Set Content,Ladies Palazzo,piece,Set Content,1285.0,1285.0
Ladies Palazzo_piece_Size,Ladies Palazzo,piece,Size,399.0,65.0
Ladies Palazzo_piece_Sleeve Type,Ladies Palazzo,piece,Sleeve Type,799.0,325.0
Ladies Palazzo_piece_Stitch type,Ladies Palazzo,piece,Stitch type,825.0,480.0
Ladies Palazzo_piece_Style,Ladies Palazzo,piece,Style,595.0,1.0
Ladies Palazzo_piece_Suit Stitch Type,Ladies Palazzo,piece,Suit Stitch Type,900.0,275.0
Ladies Palazzo_piece_Suit Style,Ladies Palazzo,piece,Suit Style,1300.0,880.0
Ladies Palazzo_piece_Suit Type,Ladies Palazzo,piece,Suit Type,700.0,495.0
Ladies Palazzo_piece_Type,Ladies Palazzo,piece,Type,179.0,175.0
Ladies Palazzo_piece_Waist Size,Ladies Palazzo,piece,Waist Size,325.0,75.0
Ladies Palazzo_piece_Wash Care,Ladies Palazzo,piece,Wash Care,499.0,115.0
Ladies Palazzo_piece_Work,Ladies Palazzo,piece,Work,900.0,275.0
Ladies Palazzo_set_Appearance,Ladies Palazzo,set,Appearance,1650.0,1650.0
Ladies Palazzo_set_Bottom,Ladies Palazzo,set,Bottom,1650.0,1650.0
Ladies Palazzo_set_Brand,Ladies Palazzo,set,Brand,1650.0,751.0
Ladies Palazzo_set_Color,Ladies Palazzo,set,Color,1650.0,1650.0
Ladies Palazzo_set_Design,Ladies Palazzo,set,Design,795.0,795.0
Ladies Palazzo_set_Fabric,Ladies Palazzo,set,Fabric,479.0,415.0
Ladies Palazzo_set_Material,Ladies Palazzo,set,Material,1650.0,1650.0
Ladies Palazzo_set_Occasion,Ladies Palazzo,set,Occasion,795.0,479.0
Ladies Palazzo_set_Size,Ladies Palazzo,set,Size,1650.0,415.0
Ladies Palazzo_set_Style,Ladies Palazzo,set,Style,1650.0,1650.0
Ladies Palazzo_set_Suit Stitch Type,Ladies Palazzo,set,Suit Stitch Type,479.0,479.0
Ladies Palazzo_set_Wash Care,Ladies Palazzo,set,Wash Care,795.0,795.0
Ladies Palazzo_unit_Appearance,Ladies Palazzo,unit,Appearance,160.0,130.0
Ladies Palazzo_unit_Bottom,Ladies Palazzo,unit,Bottom,140.0,130.0
Ladies Palazzo_unit_Brand,Ladies Palazzo,unit,Brand,500.0,130.0
Ladies Palazzo_unit_Color,Ladies Palazzo,unit,Color,160.0,130.0
Ladies Palazzo_unit_Design,Ladies Palazzo,unit,Design,160.0,160.0
Ladies Palazzo_unit_Dupatta Length,Ladies Palazzo,unit,Dupatta Length,1450.0,1450.0
Ladies Palazzo_unit_Fabric,Ladies Palazzo,unit,Fabric,350.0,350.0
Ladies Palazzo_unit_Material,Ladies Palazzo,unit,Material,500.0,500.0
Ladies Palazzo_unit_Pattern,Ladies Palazzo,unit,Pattern,350.0,350.0
Ladies Palazzo_unit_Product Type,Ladies Palazzo,unit,Product Type,220.0,145.0
Ladies Palazzo_unit_Rayon,Ladies Palazzo,unit,Rayon,145.0,145.0
Ladies Palazzo_unit_Size,Ladies Palazzo,unit,Size,145.0,130.0
Ladies Palazzo_unit_Style,Ladies Palazzo,unit,Style,500.0,130.0
Ladies Palazzo_unit_Suit Style,Ladies Palazzo,unit,Suit Style,1450.0,1450.0
Ladies Palazzo_unit_Waist Size,Ladies Palazzo,unit,Waist Size,350.0,350.0
Leather Flash Drive_piece_Brand,Leather Flash Drive,piece,Brand,365.0,335.0
Leather Flash Drive_piece_Capacity,Leather Flash Drive,piece,Capacity,480.0,335.0
Leather Flash Drive_piece_Color,Leather Flash Drive,piece,Color,380.0,140.0
Leather Flash Drive_piece_Features,Leather Flash Drive,piece,Features,350.0,290.0
Leather Flash Drive_piece_Hardware Interface,Leather Flash Drive,piece,Hardware Interface,350.0,350.0
Leather Flash Drive_piece_Material,Leather Flash Drive,piece,Material,380.0,140.0
Leather Flash Drive_piece_Memory Size,Leather Flash Drive,piece,Memory Size,380.0,170.0
Leather Flash Drive_piece_Packaging Type,Leather Flash Drive,piece,Packaging Type,363.0,290.0
Leather Flash Drive_piece_Port Type,Leather Flash Drive,piece,Port Type,260.0,260.0
Leather Flash Drive_piece_Price Range,Leather Flash Drive,piece,Price Range,380.0,350.0
Leather Flash Drive_piece_Product Code,Leather Flash Drive,piece,Product Code,610.0,610.0
Leather Flash Drive_piece_Size,Leather Flash Drive,piece,Size,475.0,475.0
Leather Flash Drive_piece_Style,Leather Flash Drive,piece,Style,380.0,170.0
Leather Flash Drive_piece_Type,Leather Flash Drive,piece,Type,350.0,350.0
Leather Flash Drive_piece_Usage/Application,Leather Flash Drive,piece,Usage/Application,290.0,285.0
Leather Flash Drive_piece_Usb,Leather Flash Drive,piece,Usb,434.0,260.0
Lining Fabric_kilogram_Color,Lining Fabric,kilogram,Color,280.0,210.0
Lining Fabric_kilogram_Design/Pattern,Lining Fabric,kilogram,Design/Pattern,280.0,280.0
Lining Fabric_kilogram_Fabric,Lining Fabric,kilogram,Fabric,210.0,210.0
Lining Fabric_kilogram_GSM,Lining Fabric,kilogram,GSM,205.0,205.0
Lining Fabric_kilogram_Pattern,Lining Fabric,kilogram,Pattern,210.0,210.0
Lining Fabric_kilogram_Product Type,Lining Fabric,kilogram,Product Type,210.0,210.0
Lining Fabric_kilogram_Type,Lining Fabric,kilogram,Type,280.0,280.0
Lining Fabric_kilogram_Width,Lining Fabric,kilogram,Width,280.0,205.0
Lining Fabric_meter_Brand,Lining Fabric,meter,Brand,28.0,27.0
Lining Fabric_meter_Color,Lining Fabric,meter,Color,44.0,12.5
Lining Fabric_meter_Design,Lining Fabric,meter,Design,20.0,20.0
Lining Fabric_meter_Design/Pattern,Lining Fabric,meter,Design/Pattern,65.0,20.0
Lining Fabric_meter_Fabric,Lining Fabric,meter,Fabric,40.0,20.0
Lining Fabric_meter_Fabric Type,Lining Fabric,meter,Fabric Type,22.0,20.0
Lining Fabric_meter_GSM,Lining Fabric,meter,GSM,44.0,14.0
Lining Fabric_meter_Material,Lining Fabric,meter,Material,4.0,4.0
Lining Fabric_meter_Occasion,Lining Fabric,meter,Occasion,22.0,22.0
Lining Fabric_meter_Pattern,Lining Fabric,meter,Pattern,28.0,14.0
Lining Fabric_meter_Product Type,Lining Fabric,meter,Product Type,44.0,28.0
Lining Fabric_meter_Size,Lining Fabric,meter,Size,28.0,28.0
Lining Fabric_meter_Type,Lining Fabric,meter,Type,44.0,12.5
Lining Fabric_meter_Usage/Application,Lining Fabric,meter,Usage/Application,28.0,27.0
Lining Fabric_meter_Use,Lining Fabric,meter,Use,27.0,27.0
Lining Fabric_meter_Wash Type,Lining Fabric,meter,Wash Type,110.0,20.0
Lining Fabric_meter_Why do you need this,Lining Fabric,meter,Why do you need this,18.0,18.0
Lining Fabric_meter_Width,Lining Fabric,meter,Width,65.0,12.5
Lining Fabric_piece_Color,Lining Fabric,piece,Color,13.5,13.5
Lining Fabric_piece_Design/Pattern,Lining Fabric,piece,Design/Pattern,13.5,13.5
Lining Fabric_piece_Type,Lining Fabric,piece,Type,13.5,13.5
Lining Fabric_piece_Width,Lining Fabric,piece,Width,13.5,13.5
Lining Fabric_roll_Width,Lining Fabric,roll,Width,1500.0,1500.0
Lining Fabric_unit_Fabric,Lining Fabric,unit,Fabric,60.0,60.0
Liquid Filling Machine_bottle_Brand,Liquid Filling Machine,bottle,Brand,50000.0,50000.0
Liquid Filling Machine_bottle_Capacity,Liquid Filling Machine,bottle,Capacity,50000.0,50000.0
Liquid Filling Machine_bottle_Model Number,Liquid Filling Machine,bottle,Model Number,50000.0,50000.0
Liquid Filling Machine_bottle_Packaging Type,Liquid Filling Machine,bottle,Packaging Type,50000.0,50000.0
Liquid Filling Machine_bottle_Size/Dimension,Liquid Filling Machine,bottle,Size/Dimension,50000.0,50000.0
Liquid Filling Machine_number_Application,Liquid Filling Machine,number,Application,220000.0,70000.0
Liquid Filling Machine_number_Brand,Liquid Filling Machine,number,Brand,450000.0,70000.0
Liquid Filling Machine_number_Capacity,Liquid Filling Machine,number,Capacity,750000.0,135000.0
Liquid Filling Machine_number_Capacity (bottles/min),Liquid Filling Machine,number,Capacity (bottles/min),650000.0,650000.0
Liquid Filling Machine_number_Filling System,Liquid Filling Machine,number,Filling System,300000.0,70000.0
Liquid Filling Machine_number_Material,Liquid Filling Machine,number,Material,1050000.0,650000.0
Liquid Filling Machine_number_Model No.,Liquid Filling Machine,number,Model No.,70000.0,70000.0
Liquid Filling Machine_number_Model Number,Liquid Filling Machine,number,Model Number,220000.0,220000.0
Liquid Filling Machine_number_Nozzle Type,Liquid Filling Machine,number,Nozzle Type,300000.0,300000.0
Liquid Filling Machine_number_Packaging Type,Liquid Filling Machine,number,Packaging Type,750000.0,135000.0
Liquid Filling Machine_number_Power Consumption,Liquid Filling Machine,number,Power Consumption,300000.0,70000.0
Liquid Filling Machine_number_Size/Dimension,Liquid Filling Machine,number,Size/Dimension,450000.0,220000.0
Liquid Filling Machine_number_Usage/Application,Liquid Filling Machine,number,Usage/Application,1050000.0,135000.0
Liquid Filling Machine_pair_Application,Liquid Filling Machine,pair,Application,950000.0,950000.0
Liquid Filling Machine_pair_Filling System,Liquid Filling Machine,pair,Filling System,950000.0,950000.0
Liquid Filling Machine_pair_Machine Capacity,Liquid Filling Machine,pair,Machine Capacity,950000.0,950000.0
Liquid Filling Machine_pair_Packaging Type,Liquid Filling Machine,pair,Packaging Type,950000.0,950000.0
